PartitionKey,RowKey,Postnr,Id
Å,ÅKERBÄRSTIGEN 21 ÄLVSJÖ,12556,2126
B,BIFROSTVÄGEN 12 SPÅNGA,16355,4103
B,BIFROSTVÄGEN 14 SPÅNGA,16355,4103
B,BIFROSTVÄGEN 16 SPÅNGA,16355,4103
B,BIFROSTVÄGEN 2 SPÅNGA,16355,4103
D,DROTTNINGGATAN 66 STOCKHOLM,11121,103
D,DROTTNINGGATAN 68 STOCKHOLM,11121,103
D,DROTTNINGGATAN 70 STOCKHOLM,11121,103
F,FÅGELHUNDSGATAN 10 STOCKHOLM,11545,914
F,FÅGELHUNDSGATAN 6 STOCKHOLM,11545,914
F,FÅGELHUNDSGATAN 8 STOCKHOLM,11545,914
F,FILIPSTADSBACKEN 56 FARSTA,12343,2518
F,FILIPSTADSBACKEN 58 FARSTA,12343,2518
F,FILIPSTADSBACKEN 60 FARSTA,12343,2518
F,FILIPSTADSBACKEN 62 FARSTA,12343,2518
F,FILIPSTADSBACKEN 64 FARSTA,12343,2518
F,FILIPSTADSBACKEN 66 FARSTA,12343,2518
F,FILIPSTADSBACKEN 68 FARSTA,12343,2518
F,FILIPSTADSBACKEN 70 FARSTA,12343,2518
G,GAMLA BROGATAN 11 STOCKHOLM,11120,103
G,GAMLA BROGATAN 9 STOCKHOLM,11120,103
H,HÖGVILTSGATAN 10 STOCKHOLM,11545,914
H,HÖGVILTSGATAN 12 STOCKHOLM,11545,914
H,HÖGVILTSGATAN 14 STOCKHOLM,11545,914
H,HÖGVILTSGATAN 16 STOCKHOLM,11545,914
H,HÖGVILTSGATAN 6 STOCKHOLM,11545,914
H,HÖGVILTSGATAN 8 STOCKHOLM,11545,914
J,JAKTGATAN 11 STOCKHOLM,11545,914
J,JAKTGATAN 17 STOCKHOLM,11545,914
J,JAKTGATAN 19 STOCKHOLM,11545,914
J,JAKTGATAN 3 STOCKHOLM,11545,914
J,JAKTGATAN 5 STOCKHOLM,11545,914
J,JAKTGATAN 7 STOCKHOLM,11545,914
J,JAKTGATAN 9 STOCKHOLM,11545,914
K,KANSLERSVÄGEN 10 SKARPNÄCK,12838,3607
K,KANSLERSVÄGEN 12 SKARPNÄCK,12838,3607
K,KANSLERSVÄGEN 14 SKARPNÄCK,12838,3607
K,KANSLERSVÄGEN 16 SKARPNÄCK,12838,3607
K,KANSLERSVÄGEN 18 SKARPNÄCK,12838,3607
K,KANSLERSVÄGEN 20 SKARPNÄCK,12838,3607
K,KANSLERSVÄGEN 22 SKARPNÄCK,12838,3607
K,KANSLERSVÄGEN 24 SKARPNÄCK,12838,3607
K,KANSLERSVÄGEN 26 SKARPNÄCK,12838,3607
K,KANSLERSVÄGEN 28 SKARPNÄCK,12838,3607
K,KANSLERSVÄGEN 30 SKARPNÄCK,12838,3607
K,KANSLERSVÄGEN 32 SKARPNÄCK,12838,3607
K,KANSLERSVÄGEN 34 SKARPNÄCK,12838,3607
K,KANSLERSVÄGEN 36 SKARPNÄCK,12838,3607
K,KANSLERSVÄGEN 6 SKARPNÄCK,12838,3607
K,KANSLERSVÄGEN 8 SKARPNÄCK,12838,3607
K,KASTANJEVÄGEN 13 ÄLVSJÖ,12552,2111
K,KASTANJEVÄGEN 15 ÄLVSJÖ,12552,2111
K,KASTANJEVÄGEN 17 ÄLVSJÖ,12552,2111
K,KASTANJEVÄGEN 19 ÄLVSJÖ,12552,2111
K,KASTANJEVÄGEN 21 ÄLVSJÖ,12552,2111
K,KILLINGBRINKEN 2 HÄSSELBY,16571,3819
K,KILLINGBRINKEN 4 HÄSSELBY,16571,3819
L,LAMBARÖVÄGEN 11 HÄSSELBY,16571,3819
L,LAMBARÖVÄGEN 12 HÄSSELBY,16571,3819
L,LAMBARÖVÄGEN 17 HÄSSELBY,16571,3819
L,LAMBARÖVÄGEN 18 HÄSSELBY,16571,3819
L,LAMBARÖVÄGEN 21 HÄSSELBY,16571,3819
L,LAMBARÖVÄGEN 22 HÄSSELBY,16571,3819
L,LAMBARÖVÄGEN 23 HÄSSELBY,16571,3819
L,LAMBARÖVÄGEN 26 HÄSSELBY,16571,3819
L,LAMBARÖVÄGEN 27 HÄSSELBY,16571,3819
L,LAMBARÖVÄGEN 28 HÄSSELBY,16571,3819
L,LAMBARÖVÄGEN 29 HÄSSELBY,16571,3819
L,LAMBARÖVÄGEN 31 HÄSSELBY,16571,3819
L,LAMBARÖVÄGEN 33 HÄSSELBY,16571,3819
L,LAMBARÖVÄGEN 8 HÄSSELBY,16571,3819
L,LAMBARÖVÄGEN 9 HÄSSELBY,16571,3819
L,LÅNGBRODALSVÄGEN 110 ÄLVSJÖ,12557,2126
L,LÅNGBRODALSVÄGEN 112 ÄLVSJÖ,12557,2126
L,LIDKÖPINGSVÄGEN 1 JOHANNESHOV,12139,3614
L,LIDKÖPINGSVÄGEN 25 JOHANNESHOV,12139,3614
L,LIDKÖPINGSVÄGEN 27 JOHANNESHOV,12139,3614
L,LIDKÖPINGSVÄGEN 29 JOHANNESHOV,12139,3614
L,LIDKÖPINGSVÄGEN 3 JOHANNESHOV,12139,3614
L,LIDKÖPINGSVÄGEN 31 JOHANNESHOV,12139,3614
L,LIDKÖPINGSVÄGEN 3A JOHANNESHOV,12139,3614
L,LIDKÖPINGSVÄGEN 56 JOHANNESHOV,12139,3616
L,LIDKÖPINGSVÄGEN 58 JOHANNESHOV,12139,3616
L,LIDKÖPINGSVÄGEN 60 JOHANNESHOV,12139,3616
L,LIDKÖPINGSVÄGEN 62 JOHANNESHOV,12139,3616
L,LIDKÖPINGSVÄGEN 64 JOHANNESHOV,12139,3616
L,LIDKÖPINGSVÄGEN 66 JOHANNESHOV,12139,3616
L,LÖVÅNGERSGATAN 10 VÄLLINGBY,16263,3101
L,LÖVÅNGERSGATAN 11 VÄLLINGBY,16263,3101
L,LÖVÅNGERSGATAN 12 VÄLLINGBY,16263,3101
L,LÖVÅNGERSGATAN 13 VÄLLINGBY,16263,3101
