PartitionKey,RowKey,Vallokal_namn,Adress,Postnr,Postort,Latitud,Longitud,Dag01,Dag02,Dag03,Dag04,Dag05,Dag06,Dag07,Dag08,Dag09,Dag10,Dag11,Dag12,Dag13,Dag14,Dag15,Dag16,Dag17,Dag18,Dag19,Adress_geo
1,10979,Europahuset,Regeringsgatan 65,103 90,Stockholm,59.3349474,18.0670047,2018-08-27T09:00:00/2018-08-27T16:00:00,2018-08-28T09:00:00/2018-08-28T16:00:00,2018-08-29T09:00:00/2018-08-29T16:00:00,2018-08-30T00:00:00/2018-08-30T00:00:00,2018-08-31T00:00:00/2018-08-31T00:00:00,2018-09-01T09:00:00/2018-09-01T16:00:00,2018-09-02T09:00:00/2018-09-02T16:00:00,2018-09-03T09:00:00/2018-09-03T16:00:00,2018-09-04T09:00:00/2018-09-04T16:00:00,2018-09-05T09:00:00/2018-09-05T16:00:00,2018-09-06T00:00:00/2018-09-06T00:00:00,2018-09-07T00:00:00/2018-09-07T00:00:00,2018-09-08T09:00:00/2018-09-08T16:00:00,2018-09-09T09:00:00/2018-09-09T16:00:00,2018-09-10T09:00:00/2018-09-10T16:00:00,2018-09-11T09:00:00/2018-09-11T16:00:00,2018-09-12T09:00:00/2018-09-12T16:00:00,2018-09-13T00:00:00/2018-09-13T00:00:00,2018-09-14T00:00:00/2018-09-14T00:00:00,Regeringsgatan 65
1,10980,KTH Biblioteket,Osquars Backe 31,100 44,Stockholm,59.3478355,18.0729286,2018-08-27T08:00:00/2018-08-27T18:00:00,2018-08-28T08:00:00/2018-08-28T18:00:00,2018-08-29T08:00:00/2018-08-29T17:00:00,2018-08-30T00:00:00/2018-08-30T00:00:00,2018-08-31T00:00:00/2018-08-31T00:00:00,2018-09-01T08:00:00/2018-09-01T20:00:00,2018-09-02T08:00:00/2018-09-02T20:00:00,2018-09-03T08:00:00/2018-09-03T20:00:00,2018-09-04T08:00:00/2018-09-04T20:00:00,2018-09-05T08:00:00/2018-09-05T18:00:00,2018-09-06T10:00:00/2018-09-06T16:00:00,2018-09-07T00:00:00/2018-09-07T00:00:00,2018-09-08T08:00:00/2018-09-08T20:00:00,2018-09-09T08:00:00/2018-09-09T20:00:00,2018-09-10T08:00:00/2018-09-10T20:00:00,2018-09-11T08:00:00/2018-09-11T20:00:00,2018-09-12T08:00:00/2018-09-12T18:00:00,2018-09-13T10:00:00/2018-09-13T16:00:00,2018-09-14T00:00:00/2018-09-14T00:00:00,Osquars Backe 31
1,10982,Frälsningsarmén Söderkåren,Hornsgatan 98,118 21,Stockholm,59.3176568,18.0517566,2018-08-27T10:00:00/2018-08-27T19:00:00,2018-08-28T10:00:00/2018-08-28T16:00:00,2018-08-29T10:00:00/2018-08-29T17:00:00,2018-08-30T10:00:00/2018-08-30T16:00:00,2018-08-31T00:00:00/2018-08-31T00:00:00,2018-09-01T10:00:00/2018-09-01T16:00:00,2018-09-02T10:00:00/2018-09-02T16:00:00,2018-09-03T10:00:00/2018-09-03T19:00:00,2018-09-04T10:00:00/2018-09-04T16:00:00,2018-09-05T10:00:00/2018-09-05T17:00:00,2018-09-06T10:00:00/2018-09-06T16:00:00,2018-09-07T00:00:00/2018-09-07T00:00:00,2018-09-08T10:00:00/2018-09-08T16:00:00,2018-09-09T10:00:00/2018-09-09T16:00:00,2018-09-10T10:00:00/2018-09-10T19:00:00,2018-09-11T10:00:00/2018-09-11T19:00:00,2018-09-12T10:00:00/2018-09-12T19:00:00,2018-09-13T10:00:00/2018-09-13T16:00:00,2018-09-14T00:00:00/2018-09-14T00:00:00,Hornsgatan 98
1,10984,Spårvägsmuseet,Tegelviksgatan 22,116 41,Stockholm,59.3115648,18.0985048,2018-08-27T12:00:00/2018-08-27T17:00:00,2018-08-28T12:00:00/2018-08-28T17:00:00,2018-08-29T12:00:00/2018-08-29T17:00:00,2018-08-30T21:00:00/2018-08-30T16:00:00,2018-08-31T21:00:00/2018-08-31T16:00:00,2018-09-01T12:00:00/2018-09-01T17:00:00,2018-09-02T12:00:00/2018-09-02T17:00:00,2018-09-03T12:00:00/2018-09-03T17:00:00,2018-09-04T12:00:00/2018-09-04T17:00:00,2018-09-05T12:00:00/2018-09-05T17:00:00,2018-09-06T21:00:00/2018-09-06T16:00:00,2018-09-07T21:00:00/2018-09-07T16:00:00,2018-09-08T12:00:00/2018-09-08T17:00:00,2018-09-09T12:00:00/2018-09-09T17:00:00,2018-09-10T12:00:00/2018-09-10T17:00:00,2018-09-11T12:00:00/2018-09-11T17:00:00,2018-09-12T12:00:00/2018-09-12T17:00:00,2018-09-13T21:00:00/2018-09-13T16:00:00,2018-09-14T00:00:00/2018-09-14T00:00:00,Tegelviksgatan 22
1,10985,Stadsmuseet,"Ryssgården, Slussen",104 65,Stockholm,59.3197914,18.0716161,2018-08-27T11:00:00/2018-08-27T17:00:00,2018-08-28T11:00:00/2018-08-28T20:00:00,2018-08-29T11:00:00/2018-08-29T17:00:00,2018-08-30T11:00:00/2018-08-30T17:00:00,2018-08-31T11:00:00/2018-08-31T17:00:00,2018-09-01T00:00:00/2018-09-01T00:00:00,2018-09-02T11:00:00/2018-09-02T17:00:00,2018-09-03T11:00:00/2018-09-03T17:00:00,2018-09-04T11:00:00/2018-09-04T20:00:00,2018-09-05T11:00:00/2018-09-05T17:00:00,2018-09-06T11:00:00/2018-09-06T17:00:00,2018-09-07T11:00:00/2018-09-07T17:00:00,2018-09-08T00:00:00/2018-09-08T00:00:00,2018-09-09T11:00:00/2018-09-09T17:00:00,2018-09-10T11:00:00/2018-09-10T17:00:00,2018-09-11T11:00:00/2018-09-11T20:00:00,2018-09-12T11:00:00/2018-09-12T17:00:00,2018-09-13T11:00:00/2018-09-13T17:00:00,2018-09-14T00:00:00/2018-09-14T00:00:00,Ryssgården
1,10991,Kungliga biblioteket,Humlegården,102 41,Stockholm,59.3391471,18.0726088,2018-08-27T09:00:00/2018-08-27T18:00:00,2018-08-28T09:00:00/2018-08-28T18:00:00,2018-08-29T09:00:00/2018-08-29T17:00:00,2018-08-30T11:00:00/2018-08-30T15:00:00,2018-08-31T00:00:00/2018-08-31T00:00:00,2018-09-01T09:00:00/2018-09-01T19:00:00,2018-09-02T09:00:00/2018-09-02T19:00:00,2018-09-03T09:00:00/2018-09-03T19:00:00,2018-09-04T09:00:00/2018-09-04T19:00:00,2018-09-05T09:00:00/2018-09-05T18:00:00,2018-09-06T11:00:00/2018-09-06T15:00:00,2018-09-07T00:00:00/2018-09-07T00:00:00,2018-09-08T09:00:00/2018-09-08T19:00:00,2018-09-09T09:00:00/2018-09-09T19:00:00,2018-09-10T09:00:00/2018-09-10T19:00:00,2018-09-11T09:00:00/2018-09-11T19:00:00,2018-09-12T09:00:00/2018-09-12T18:00:00,2018-09-13T11:00:00/2018-09-13T15:00:00,2018-09-14T00:00:00/2018-09-14T00:00:00,Humlegården
1,12647,Husby medborgarkontor,Trondheimsgatan 3,164 07,Kista,59.4101533,17.9261842,2018-08-27T13:00:00/2018-08-27T18:00:00,2018-08-28T13:00:00/2018-08-28T11:00:00,2018-08-29T00:00:00/2018-08-29T00:00:00,2018-08-30T00:00:00/2018-08-30T00:00:00,2018-08-31T00:00:00/2018-08-31T00:00:00,2018-09-01T13:00:00/2018-09-01T18:00:00,2018-09-02T13:00:00/2018-09-02T18:00:00,2018-09-03T13:00:00/2018-09-03T18:00:00,2018-09-04T13:00:00/2018-09-04T11:00:00,2018-09-05T00:00:00/2018-09-05T00:00:00,2018-09-06T00:00:00/2018-09-06T00:00:00,2018-09-07T00:00:00/2018-09-07T00:00:00,2018-09-08T13:00:00/2018-09-08T18:00:00,2018-09-09T13:00:00/2018-09-09T18:00:00,2018-09-10T13:00:00/2018-09-10T18:00:00,2018-09-11T13:00:00/2018-09-11T11:00:00,2018-09-12T00:00:00/2018-09-12T00:00:00,2018-09-13T00:00:00/2018-09-13T00:00:00,2018-09-14T00:00:00/2018-09-14T00:00:00,Trondheimsgatan 3
1,13027,Sture bibliotek,Grev Turegatan 6 via publik hiss ner,114 11,Stockholm,59.3352006,18.0749537,2018-08-27T11:00:00/2018-08-27T19:00:00,2018-08-28T11:00:00/2018-08-28T19:00:00,2018-08-29T12:00:00/2018-08-29T18:00:00,2018-08-30T12:00:00/2018-08-30T18:00:00,2018-08-31T12:00:00/2018-08-31T18:00:00,2018-09-01T11:00:00/2018-09-01T19:00:00,2018-09-02T12:00:00/2018-09-02T19:00:00,2018-09-03T11:00:00/2018-09-03T19:00:00,2018-09-04T11:00:00/2018-09-04T19:00:00,2018-09-05T12:00:00/2018-09-05T18:00:00,2018-09-06T12:00:00/2018-09-06T18:00:00,2018-09-07T12:00:00/2018-09-07T18:00:00,2018-09-08T11:00:00/2018-09-08T19:00:00,2018-09-09T12:00:00/2018-09-09T19:00:00,2018-09-10T11:00:00/2018-09-10T19:00:00,2018-09-11T11:00:00/2018-09-11T19:00:00,2018-09-12T12:00:00/2018-09-12T18:00:00,2018-09-13T12:00:00/2018-09-13T18:00:00,2018-09-14T00:00:00/2018-09-14T00:00:00,Grev Turegatan 6
1,13048,Rinkeby bibliotek,Skärbygränd 1,163 72,Spånga,59.3887031,17.9270791,2018-08-27T00:00:00/2018-08-27T00:00:00,2018-08-28T00:00:00/2018-08-28T00:00:00,2018-08-29T12:00:00/2018-08-29T18:00:00,2018-08-30T12:00:00/2018-08-30T16:00:00,2018-08-31T12:00:00/2018-08-31T16:00:00,2018-09-01T16:00:00/2018-09-01T19:00:00,2018-09-02T16:00:00/2018-09-02T19:00:00,2018-09-03T00:00:00/2018-09-03T00:00:00,2018-09-04T00:00:00/2018-09-04T00:00:00,2018-09-05T12:00:00/2018-09-05T18:00:00,2018-09-06T12:00:00/2018-09-06T16:00:00,2018-09-07T12:00:00/2018-09-07T16:00:00,2018-09-08T16:00:00/2018-09-08T19:00:00,2018-09-09T16:00:00/2018-09-09T19:00:00,2018-09-10T00:00:00/2018-09-10T00:00:00,2018-09-11T00:00:00/2018-09-11T00:00:00,2018-09-12T12:00:00/2018-09-12T18:00:00,2018-09-13T12:00:00/2018-09-13T16:00:00,2018-09-14T12:00:00/2018-09-14T16:00:00,Skärbygränd 1
1,13595,Riksdagshuset,Riksgatan 3,100 12,Stockholm,59.3276315,18.0674983,2018-08-27T09:00:00/2018-08-27T17:00:00,2018-08-28T09:00:00/2018-08-28T17:00:00,2018-08-29T09:00:00/2018-08-29T17:00:00,2018-08-30T00:00:00/2018-08-30T00:00:00,2018-08-31T00:00:00/2018-08-31T00:00:00,2018-09-01T09:00:00/2018-09-01T17:00:00,2018-09-02T09:00:00/2018-09-02T17:00:00,2018-09-03T09:00:00/2018-09-03T17:00:00,2018-09-04T09:00:00/2018-09-04T17:00:00,2018-09-05T09:00:00/2018-09-05T17:00:00,2018-09-06T00:00:00/2018-09-06T00:00:00,2018-09-07T00:00:00/2018-09-07T00:00:00,2018-09-08T09:00:00/2018-09-08T17:00:00,2018-09-09T09:00:00/2018-09-09T17:00:00,2018-09-10T09:00:00/2018-09-10T17:00:00,2018-09-11T09:00:00/2018-09-11T17:00:00,2018-09-12T09:00:00/2018-09-12T17:00:00,2018-09-13T09:00:00/2018-09-13T17:00:00,2018-09-14T00:00:00/2018-09-14T00:00:00,Riksgatan 3
